"NamesIdx";"Name";"County";"Phillimore";"NameCode";"GenderCode";"ChurchCode";"Xrefs"
4550;"Aelfeva";"LIN";"13,44";;"F";"-";
4650;"Aelfeva";"OXF";"B10. 26,1";;"F";"-";
4700;"Aelfeva";"SHR";"4,14,3-4;6. 4,21,6;14";;"F";"-";
4750;"Aelfeva";"SOM";"6,7. EDe1";;"F";"-";
4800;"Aelfeva";"SUF";"6,193. 7,36;38-(39). 21,50. 54,3";;"F";"-";
4850;"Aelfeva";"SUS";"9,58. 10,92";;"F";"-";
4900;"Aelfeva";"WIL";"26,22";;"F";"-";
4950;"Aelfeva";"WOR";"11,2";;"F";"-";
5000;"Aelfeva";;;;;;"see also Seric son of; Sired son of"
5050;"(another) Aelfeva";"ESS";"B3a";;"F";"-";
5100;"(another) Aelfeva";"SHR";"4,14,4";;"F";"-";
5150;"Countess Aelfeva";"DBY";"S5 note";;"F";"-";
5200;"Countess Aelfeva";"ESS";"B3j";;"F";"-";
5250;"Countess Aelfeva";"HRT";"5,24";;"F";"-";
5300;"Countess Aelfeva";"LEC";"12";;"F";"-";
5330;"(Countess) Aelfeva";"NFK";"8,24-25;34-(36);87";;"F";"-";
5350;"(Countess) Aelfeva";"NTH";"8,13";;"F";"-";
5400;"Countess Aelfeva";"NTT";"S5";;"F";"-";
5450;"Countess Aelfeva";"SUF";"1,97 and note;98-99. 16,10";;"F";"-";
5500;"Aelfeva, Eskil's man";"BDF";"18,5";;"F";"-";
5550;"Aelfeva, Earl Harold's sister";"BUK";"4,21";;"F";"-";
5600;"Aelfeva the nun";"WOR";"2,54";;"F";"-";
5650;"Aelfeva Thief";"DEV";"24,22";;"F";"-";
5700;"Aelfeva wife of Harold";"BUK";"17,22";;"F";"-";
5750;"Aelfeva wife of Hwaetmann";"MDX";"25,2";;"F";"-";
5800;"Aelfeva (wife of Hwaetmann)";"MDX";"25,3";;"F";"-";
5850;"Aelfeva";;;;;;"see also Countess Aelfeva"
5900;"Aelfgyth (mother of Godwin)";"BUK";"19,3";;"F";"-";
6000;"Aelfgyth <of Clatworthy>";"SOM";"25,8";;"F";"-";
6050;"Aelfgyth <of Hargrave>";"SUF";"54,2";;"F";"-";
6060;"Aelfgyth <of Sutton>";"ESS";"24,35";;"F";"-";
6100;"Aelfric";"BRK";"1,1;5. 7,14;19. 36,3. 41,5. 44,5. 51,1. 54,2. 64,2. 65,8";;"M";"-";
6150;"Aelfric";"CAM";"{5,11 note. 26,21 note}";;"M";"-";
6250;"Aelfric";"CON";"5,2,5;8;22;24;27-28. 5,3,6;9. 5,11,4-5. 5,17,3. 5,24,18;21-22. 5,25,4";;"M";"-";
6350;"Aelfric";"DEV";"3,35;38. 15,15;75. 16,91;117. 17,13;24;27;57-58;85;87-89;97;107. 19,21;28. 25,6;25. 29,1-3. 31,4. 34,27;57. 39,16. 40,1-2. 42,21. 47,3-4. 52,44-45";;"M";"-";
6400;"Aelfric";"DOR";"1,24;28-29. 6,4. 26,38;42;59. 49,16. 55,19;26;{28};44. 56,51";;"M";"-";
6450;"Aelfric";"ESS";"1,15. 4,1;3;11;14. 18,32. 20,6;44;69. 22,24. 28,3. 32,2. 35,13-14. 36,8. 41,1. 54,2. 57,6. 60,2. 68,7. B3a";;"M";"-";
6500;"Aelfric";"GLS";"1,5. 32,2. 35,1(-2). 41,3-4. 52,4. 67,4. E3;31";;"M";"-";
6550;"Aelfric";"HAM";"3,8. 21,2. 35,3;6. 45,7. 48,1. 57,2";;"M";"-";
6600;"Aelfric";"HEF";"1,31;36;73. 10,34. 14,11. 15,10";;"M";"-";
6700;"Aelfric";"KEN";"5,16;46;84";;"M";"-";
6800;"Aelfric";"LIN";"2,3(-4);28. 3,8-9. 4,75. 22,20. 30,19";;"M";"-";
6850;"Aelfric";"NFK";"1,77;136;145. 8,18. 9,114. 11,1. 29,7. 52,1";;"M";"-";
6900;"Aelfric";"NTH";"4,29. 18,44;58. 23,18. 43,9";;"M";"-";
6950;"Aelfric";"NTT";"5,6. 9,52;64. 10,15. 18,4. 29,1";;"M";"-";
7000;"Aelfric";"OXF";"6,11. 27,2-4. 35,3. 58,35(-36). EN10";;"M";"-";
7050;"Aelfric";"SHR";"3b,4. 4,3,1;9. 4,5,1;10-12;15. 4,7,3. 4,9,2-3. 4,14,24. 4,21,2;10;15;17";;"M";"-";
7100;"Aelfric";"SOM";"1,1. 5,18;37;40-41;57;{59 note}. 8,19. {16,2 note}. 19,17;27;58. 21,35;37;50;65;87. {24,10 note}. 25,1-2;17;25;{43 note}. 37,4;{11 note}. {45,4}. 46,18";;"M";"-";
7150;"Aelfric";"STS";"11,26";;"M";"-";
7200;"Aelfric";"SUF";"1,102. 2,20. 3,66;94;100. 4,11;13;19;21;40. 5,7. 6,40;57;90;110;116;191-192;309-310. 7,40;(53);48-49;66;75;79;104;108;118;121;134;137. 8,6;{12} and note;55;{81}. 9,1-2. 14,41;44;149. 16,16;20;35;41-42. 19,18. 21,23;63. 23,2-3;(5). 25,60;64-65. 26,14. 31,20;56. 36,5;12-13. 38,11;20. 43,5;7. 51,1. 56,5. 64,1. 67,6. 74,13. ENf4";;"M";"-";
7250;"Aelfric";"SUR";"5,1d;4. 19,29;35";;"M";"-";
7300;"Aelfric";"SUS";"9,83. 10,28;57. 11,31";;"M";"-";
7350;"Aelfric";"WAR";"40,2";;"M";"-";
7400;"Aelfric";"WIL";"24,6. 25,28. 26,16. 27,3;15;21;25. 29,5. 32,15. 37,2. 48,6. 68,19";;"M";"-";
7450;"Aelfric";"WOR";"8,4;9b-9c. 26,3;11;14";;"M";"-";
7500;"Aelfric";"YKS";"9W26;78";;"M";"-";
7550;"Aelfric";;;;;;"see also Brictric father of; Edmer brother of; Edric son of; Ordric brother of; Wihtgar father of; Wihtgar son of"
7600;"another Aelfric";"BRK";"1,1";;"M";"-";
7650;"(another) Aelfric";"ESS";"B3a";;"M";"-";
7700;"(another) Aelfric";"SUF";"25,60. 74,13";;"M";"-";
7750;"(a third) Aelfric";"ESS";"B3a";;"M";"-";
7800;"(a third) Aelfric";"SUF";"25,60. 74,13";;"M";"-";
7850;"(a fourth) Aelfric";"ESS";"B3a";;"M";"-";
7900;"(a fourth) Aelfric";"SUF";"74,13";;"M";"-";
7950;"(a fifth) Aelfric";"ESS";"B3a";;"M";"-";
8000;"(a sixth) Aelfric";"ESS";"B3a";;"M";"-";
8050;"(a seventh) Aelfric";"ESS";"B3a";;"M";"-";
8100;"(an eighth) Aelfric";"ESS";"B3a";;"M";"-";
8150;"(a ninth) Aelfric";"ESS";"B3a";;"M";"-";
8200;"(a tenth) Aelfric";"ESS";"B3a";;"M";"-";
8250;"(an eleventh) Aelfric";"ESS";"B3a";;"M";"-";
8300;"Aelfric, a man-at-arms";"DOR";"3,17";;"M";"-";
8350;"Aelfric, a royal thane";"BUK";"43,5;10";;"M";"-";
8400;"Aelfric, a royal thane";;;;;;"see Aelfric Kemp"
8500;"Aelfric, Aelfric Small's man";"BDF";"25,3";;"M";"-";
8550;"Aelfric, Almer of Bennington's man";"HRT";"20,4 and note. 36,17";;"M";"-";
8600;"Aelfric Bicga";"ESS";"20,41";;"M";"-";
8650;"Aelfric, Bishop Wulfwy's man";"BUK";"53,7";;"M";"-";
8700;"Aelfric Blaec";"HRT";"2,1-2;5. 37,1";;"M";"-";
8710;"Aelfric (Blaec)";"HRT";"2,3";;"M";"-";
8750;"Aelfric (Blaec)";"NFK";"1,2. 6,6. 9,49. 29,5-6. 35,6";;"M";"-";
8800;"Aelfric {brother of Edmer}";"SOM";"2,7";;"M";"-";
8850;"Aelfric brother of Edric";"SUF";"76,3";;"M";"-";
8900;"Aelfric brother of Godwin the priest";"CAM";"{31,1 note}";;"M";"-";
8950;"Aelfric brother of Harold and Guthfrithr";"LIN";"CS21";;"M";"-";
9000;"Aelfric brother of Ordric";"KEN";"5,110";;"M";"-";
9050;"Aelfric brother of Wulfa";"SOM";"{19,68 note}";;"M";"-";
9100;"Aelfric, Burgred (father of Edwin)'s man";"BDF";"3,15;17";;"M";"-";
9150;"Aelfric, Burgred (father of Edwin)'s man";"NTH";"EB2";;"M";"-";
9200;"Aelfric Bush, Swein's man";"HRT";"34,6";;"M";"-";
9250;"Aelfric Catchpoll";"MDX";"3,9";;"M";"-";
9300;"Aelfric {Colling}";"DEV";"19,40";;"M";"-";
9350;"Aelfric Doda";"DOR";"7,1";;"M";"-";
9400;"Aelfric, Earl Waltheof's man";"BDF";"E3";;"M";"-";
9450;"Aelfric, Earl Waltheof's man";"HRT";"19,2";;"M";"-";
9500;"Aelfric, Edric's man";"SUF";"26,13";;"M";"-";
9550;"Aelfric father of Edric";"SHR";"3c,8";;"M";"-";
9600;"Aelfric, Godric the sheriff's man";"BUK";"44,1";;"M";"-";
9650;"Aelfric, Godwin son of Wulfstan's man";"HRT";"20,9";;"M";"-";
9700;"Aelfric, (Earl) Harold's man";"NFK";"4,26";;"M";"-";
9750;"Aelfric, (Earl) Harold's thane";"NFK";"51,5";;"M";"-";
9790;"Aelfric (Kemp)";"BRK";"32,1";;"M";"-";
9800;"Aelfric Kemp";"CAM";"21,3. 25,2";;"M";"-";
9850;"Aelfric {Kemp}";"CAM";"21,2. 25,1;3";;"M";"-";
9870;"Aelfric (Kemp)";"CAM";"13,11. 32,3";;"M";"-";
9900;"Aelfric Kemp";"ESS";"32,6;38. 33,16. 39,5;7";;"M";"-";
9910;"Aelfric (Kemp)";"ESS";"25,24;26. 32,25. 33,8;17";;"M";"-";
9950;"Aelfric Kemp";"SUF";"16,41. 28,7. 38,2. 76,4";;"M";"-";
9960;"Aelfric (Kemp)";"SUF";"1,17;(23-)30 and note;(44-59);60 and note;(100)-103;(104)-105;(106). 3,88";;"M";"-";
10000;"Aelfric, King Edward's chamberlain";"BUK";"34,1";;"M";"-";
10050;"Aelfric Little";;;;;;"see Aelfric Small"
10100;"Aelfric Mapson";"HEF";"E6";;"M";"-";
10150;"Aelfric Mapson";"WOR";"18,6";;"M";"-";
10200;"Aelfric Mouse";"CAM";"{31,2 note}";;"M";"-";
10250;"Aelfric of Alderford";"ESS";"90,49";;"M";"-";
10300;"Aelfric of Bennington";;;;;;"see Almer of Bennington"
10310;"Aelfric <of Bradbourne>";"DBY";"3,6. 6,6;13;16;18;20;22-23;44;53;94;98";;"M";"-";
10320;"Aelfric <of Bradbourne>";"LEC";"14,28;30";;"M";"-";
10330;"Aelfric <of Colwick>";"NTT";"30,8;10;13;27-29;32;34;50";;"M";"-";
10450;"Aelfric of Flitwick";"BDF";"25,2";;"M";"-";
10460;"Aelfric <of Gravenhunger>";"CHS";"2,21. 8,29;34;39-40";;"M";"-";
10470;"Aelfric <of Gravenhunger>";"SHR";"4,15,1";;"M";"-";
10500;"Aelfric of Hopewella";"SUF";"6,110";;"M";"-";
10550;"Aelfric of Horseheath";"CAM";"AppxF";;"M";"-";
10600;"Aelfric (of Keynsham)";"SOM";"1,28";;"M";"-";
10650;"Aelfric of Melksham";"WIL";"67,15";;"M";"-";
10700;"Aelfric (of Melksham)";"WIL";"67,16-17";;"M";"-";
10750;"Aelfric of Sanford";"SUF";"26,12b";;"M";"-";
10800;"Aelfric of Snailwell";"CAM";"AppxA";;"M";"-";
10850;"Aelfric {of Stowey}";"SOM";"6,13";;"M";"-";
10900;"Aelfric of Thatcham";"BRK";"1,38";;"M";"-";
10950;"Aelfric (of Thatcham)";"BRK";"21,17";;"M";"-";
11000;"Aelfric of Thriplow";"CAM";"AppxH";;"M";"-";
11050;"Aelfric of Weinhou";"SUF";"39,17. 46,3";;"M";"-";
11100;"Aelfric of Wilbraham";"CAM";"AppxC";;"M";"-";
11150;"Aelfric of Wymondley";"HRT";"Appx";;"M";"-";
11250;"Aelfric {Pig}";"DEV";"34,10";;"M";"-";
11300;"Aelfric Pike";"DEV";"28,13";;"M";"-";
11350;"Aelfric, Queen Edith's man";"BUK";"43,11";;"M";"-";
11400;"Aelfric Scova";"HRT";"5,22";;"M";"-";
11450;"Aelfric Small";"HAM";"69,53. NF9,20-21";;"M";"-";
11460;"Aelfric (Small)";"HAM";"23,5;38. 68,9. 69,11-12;38. NF3,12. NF9,1;6;12;18;24;26-28;33;40-44. IoW7,19-20. IoW8,10-12. IoW9,16;23";;"M";"-";
11500;"Aelfric Small";"SOM";"1,27";;"M";"-";
11550;"Aelfric Small";"WIL";"67,18(-21)";;"M";"-";
11600;"Aelfric Small, a royal thane";"BDF";"24,16. 25,3";;"M";"-";
11650;"Aelfric (Small), a royal thane";"BDF";"24,15";;"M";"-";
11700;"Aelfric Small, a royal thane";"HRT";"36,4";;"M";"-";
11750;"Aelfric son of Bondi, Ulf's man";"SUF";"7,37";;"M";"-";
11790;"Aelfric {son of Brictric}";"SOM";"47,21";;"M";"-";
11800;"Aelfric (son of Brictric)";"SOM";"47,22";;"M";"-";
11850;"Aelfric son of Brun";"SUF";"16,11";;"M";"-";
11860;"Aelfric (son of Brun)";"SUF";"16,15;38";;"M";"-";
11900;"Aelfric son of (Edwin) the smith in Carlewuda";"SUF";"6,110";"L";"M";"-";
11950;"Aelfric son of Edwin";;;;;;"see also Edwin the smith"
12000;"Aelfric {son of Alwaker}";"SOM";"8,33";;"M";"-";
12010;"Aelfric (son of Alwaker)";"SOM";"8,30";;"M";"-";
12100;"Aelfric son of Goding";;;;;;"see Alric son of Goding"
12140;"Aelfric (son of Godram)";"LIN";"26,45. 57,15(-17);18;(21);29;33(-35). CK53";;"M";"-";
12145;"Aelfric son of Godric";;;;;;"see Alefric the sheriff"
12150;"Aelfric son of Mergeat";;;;;;"see Aelric son of Mergeat"
12200;"Aelfric son of Rolf";"SUF";"74,8-10";;"M";"-";
12250;"Aelfric son of Wihtgar";"SUF";"25,1";;"M";"-";
12300;"Aelfric son of Wulfgeat";"SUF";"16,2-(3)";;"M";"-";
12310;"Aelfric son of Wulfgeat";"SUF";"68,1(-4)";;"M";"-";
12350;"Aelfric Starling";"SUF";"25,71";;"M";"-";
12400;"Aelfric Stickstag, half man of Edric";"SUF";"7,77";;"M";"-";
12450;"Aelfric, the Abbot of Chertsey's man";"MDX";"8,2";;"M";"-";
12500;"Aelfric the beadle";"BDF";"57,3v";;"M";"-";
12550;"Aelfric the deacon";"SUF";"38,(13;15);22";;"M";"d";
12600;"Aelfric the doctor";;;;;;"see Aelfric Small"
12650;"Aelfric (the hunter)";"DOR";"56,6;12;52;57;59-60;65";;"M";"-";
12700;"Aelfric the hunter";"WIL";"13,2";;"M";"-";
12710;"Aelfric (the hunter)";"WIL";"61,1. 68,4;6";;"M";"-";
12730;"Aelfric {the noble}";"SOM";"5,25";;"M";"-";
12740;"Aelfric the noble";;;;;;"see Aelfric Kemp"
12750;"Aelfric the priest";"CAM";"19,1";;"M";"d";
12800;"Aelfric the priest";"ESS";"24,3;5. B3a";;"M";"d";
12850;"Aelfric the priest";"HAM";"3,5;7";;"M";"d";
12900;"Aelfric the priest";"LEC";"8,5";;"M";"d";
12950;"Aelfric the priest";"SOM";"{5,64 note. 16,3 note}";;"M";"d";
13000;"Aelfric the priest";"SUF";"2,17. 3,64;74(-78). 16,30. 25,60. 74,14";;"M";"d";
13040;"Aelfric the reeve";;;;;;"see Aelfric Wand"
13050;"Aelfric the reeve, of Eudo son of Hubert";"CAM";"AppxL";;"M";"-";
13100;"Aelfric the reeve, of the Abbot";"SOM";"{8,33 note}";;"M";"-";
13150;"Aelfric the sheriff";"CAM";"B14";;"M";"-";
13160;"Aelfric (the sheriff)";"ESS";"20,37";;"M";"-";
13200;"Aelfric the sheriff";"HUN";"B10. D20";;"M";"-";
13210;"Aelfric (the sheriff)";"HUN";"19,7. 22,1-2. D7";;"M";"-";
13250;"Aelfric the sheriff's sons";"HUN";"B10. D20";;"M";"-";
13300;"Aelfric the sheriff's wife";"HUN";"B10";;"F";"-";
13320;"Aelfric (uncle of Thorkil)";"STS";"17,5";;"M";"-";
13330;"Aelfric (uncle of Thorkil)";"WAR";"4,4. 16,57;66. 17,3;32;64. 21,1. 22,8;11;20;27. 44,9";;"M";"-";
13350;"Aelfric Varus";"BUK";"12,31";;"M";"-";
13400;"Aelfric Wand";;;;;;"see Aelfric Kemp"
13500;"Aelfric Whelp";"OXF";"40,3";;"M";"-";
13700;"Aelfric's daughter";"SUR";"19,35";;"F";"-";
13750;"Aelfric's father";"ESS";"20,44";;"M";"-";
13800;"Aelfric's father";"HAM";"NF9,41;44";;"M";"-";
13850;"Aelfric's father";"LIN";"CS21";;"M";"-";
13900;"Aelfric's son";;;;;;"see Edric son of Aelfric"
13950;"Aelfric's uncle";"HAM";"NF9,44";;"M";"-";
14000;"Aelfric's wife";"SUR";"19,35";;"F";"-";
14020;"Aelfrith";;;;;;"see Alfrith"
14050;"Aelfrun";"DEV";"24,6-8;15";;"F";"-";
14100;"Aelfrun";"DOR";"28,6";;"F";"-";
14150;"Aelfthryth";"ESS";"3,1";;"F";"-";
14200;"Bishop Aelfweald (of Sherborne)";;;;;;"see Bishop Alwold (of Sherborne)"
14250;"Bishop Aelfwold (of Sherborne)";;;;;;"see Bishop Alwold (of Sherborne)"
14300;"Aelgeat <of Heyford>";"NTH";"2,12";;"F";"-";
14350;"Aelgeat <of Osmaston>";"DBY";"6,58";;"M";"-";
14360;"Aelgeat <of Osmaston>";"HEF";"13,1";;"M";"-";
14400;"Aelgyth (widow of Thorsten)";"ESS";"20,46. 33,6-7;(11);19-20";;"F";"-";
14450;"Aelgyth (widow of Thorsten)";"NFK";"21,3;20. 31,20-25;34-(36);37. 42,1";;"F";"-";
14500;"Aelgyth (widow of Thorsten)";"SUF";"33,1(-2);13. ENf5";;"F";"-";
14550;"Aelhard";"SUS";"11,8";;"M";"-";
14600;"Aelhard {the monk}";"DEV";"34,53";;"M";"d";
14650;"Aellic <of Keysoe>";"HUN";"13,2. 15,1";;"M";"-";
14700;"Aellic <of Mere>";"WIL";"67,68";;"M";"-";
14750;"Aelm";"CON";"5,1,15";;"M";"-";
14800;"Aelmer";"CON";"5,9,4. 5,24,20";;"M";"-";
14850;"Aelmer";"DBY";"1,30";;"M";"-";
14900;"Aelmer";"DEV";"3,47;49;60;85. 16,66. 19,15. 28,10. 34,38. 36,9;20;25-26. 42,22";;"M";"-";
14950;"Aelmer";"DOR";"26,43";;"M";"-";
15000;"Aelmer";"ESS";"35,3";;"M";"-";
15050;"Aelmer";"GLS";"78,8";;"M";"-";
15100;"Aelmer";"HAM";"3,1";;"M";"-";
15150;"Aelmer";"LEC";"5,1. 19,3;(15-)17";;"M";"-";
15200;"Aelmer";"SOM";"8,21. 25,41";;"M";"-";
15250;"Aelmer";"SUF";"4,(12);42. 6,9;92. 13,3. 38,6;(19;25).";;"M";"-";
15300;"Aelmer";"SUR";"17,3";;"M";"-";
15450;"Aelmer, Earl Leofwin's man";;;;;;"see Almer of Bennington"
15500;"Aelmer Milk";"ESS";"B3r";;"M";"-";
15550;"Aelmer (Milk)";"ESS";"12,1. 20,59;74. 33,22-23. 34,4;6;14. 48,1-2. B3q";;"M";"-";
15600;"Aelmer of Barston";;;;;;"see Almer <of Barston>"
15650;"Bishop Aelmer (of Elmham)";;;;;;"see Bishop Almer (of Elmham)"
15700;"Aelmer of Hoo";"BDF";"23,48";;"M";"-";
15750;"Aelmer, reeve of Richard son of Count Gilbert";"ESS";"90,78";;"M";"-";
15800;"Aelmer the priest";"SUF";"1,56";;"M";"d";
15850;"Aelmund (father of Alward)";;;;;;"see Almund (father of Alward)"
15900;"Aelod";"NFK";"23,11";"L";"M";"-";
15950;"Aelred";"WAR";"16,59";;"M";"-";
16000;"Aelric";"BRK";"21,9";;"M";"-";
16050;"Aelric";"BUK";"17,16";;"M";"-";
16100;"Aelric";"DEV";"16,45-46. 17,84";;"M";"-";
16200;"Aelric";"GLS";"3,3. 50,4. 69,1";;"M";"-";
16250;"Aelric";"HEF";"10,6";;"M";"-";
16300;"Aelric";"KEN";"5,166";;"M";"-";
16400;"Aelric";"NTH";"18,24. 56,29";;"M";"-";
16450;"Aelric";"NTT";"2,3";;"M";"-";
16500;"Aelric";"OXF";"B10";;"M";"-";
16550;"Aelric";"SOM";"5,24. 22,2;20";;"M";"-";
16600;"Aelric";"STS";"11,53;60. 17,16";;"M";"-";
16700;"Aelric";"WOR";"2,5;7;36;58";;"M";"-";
16705;"Aelric <of Greasley>";"NTH";"35,15";;"M";"-";
16710;"Aelric <of Greasley>";"NTT";"10,30-31;39. 30,55";;"M";"-";
16740;"Aelric (son of Mergeat)";"ESS";"6,9";;"M";"-";
16750;"Aelric son of Mergeat";"LEC";"16,(1-)9";;"M";"-";
16800;"Aelric son of Mergeat";"LIN";"T5. 9,1(-2). 65,1(-5). CK27";;"M";"-";
16850;"Aelric (son of Mergeat)";"LIN";"37,1-2;(3-)6;(7). CK36";;"M";"-";
16860;"Aelric (son of Mergeat)";"NTH";"29,1";;"M";"-";
16900;"Aelric son of Mergeat";"WAR";"24,1";;"M";"-";
16950;"Aelric (son of Mergeat)";"WAR";"24,2";;"M";"-";
16995;"Aelric the archdeacon";"GLS";"E20. EvC24. WoB5";;"M";"d";
17000;"Aelric the archdeacon";"WOR";"2,20;24;57";;"M";"d";
17050;"Aelrun";"DOR";"56,23";;"F";"-";
17100;"Aelrun";"SOM";"{6,14 note}";;"F";"-";
